scenario,condition,call,sequence_length,position_in_forward,coordinates_before,coordinates_after,target_gap,target_gap_error,all_position_patch_norms,next_block_input_exact,absolute_position,input_token_id,predicted_token_id,counterfactual_source_norm,random_actual_norm,rounding_error_norm,rounding_error_bound,actual_span_coordinates,actual_direction_cosine
syco_bullshit_v2_leg_pnf_01,random_identity_minus,19,1,0,"[-1.6423473358154297, -0.31602224707603455]","[-1.6423473358154297, -0.31602224707603455]",-7.5542134046554565,6.227888584136963,[0.0],True,73,2100,579,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,20,1,0,"[-1.9535164833068848, -0.33328962326049805]","[-1.9535164833068848, -0.33328962326049805]",-7.5542134046554565,5.933986663818359,[0.0],True,74,579,3558,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,21,1,0,"[-1.7323739528656006, -0.14333055913448334]","[-1.7323739528656006, -0.14333055913448334]",-7.5542134046554565,5.965169906616211,[0.0],True,75,3558,19342,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,22,1,0,"[-1.2716221809387207, -0.16771496832370758]","[-1.2716221809387207, -0.16771496832370758]",-7.5542134046554565,6.450306415557861,[0.0],True,76,19342,14832,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,23,1,0,"[-1.29494047164917, -0.10177396237850189]","[-1.29494047164917, -0.10177396237850189]",-7.5542134046554565,6.36104679107666,[0.0],True,77,14832,13,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,24,1,0,"[-0.8421624302864075, -0.17148059606552124]","[-0.8421624302864075, -0.17148059606552124]",-7.5542134046554565,6.88353157043457,[0.0],True,78,13,1061,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,25,1,0,"[-1.3127633333206177, -0.5292785167694092]","[-1.3127633333206177, -0.5292785167694092]",-7.5542134046554565,6.770728588104248,[0.0],True,79,1061,15271,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,26,1,0,"[-1.1638495922088623, -0.10881336778402328]","[-1.1638495922088623, -0.10881336778402328]",-7.5542134046554565,6.4991774559021,[0.0],True,80,15271,1231,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,27,1,0,"[-1.8157137632369995, -0.5988866686820984]","[-1.8157137632369995, -0.5988866686820984]",-7.5542134046554565,6.337386131286621,[0.0],True,81,1231,5313,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,28,1,0,"[-1.3876094818115234, -0.6621693968772888]","[-1.3876094818115234, -0.6621693968772888]",-7.5542134046554565,6.828773498535156,[0.0],True,82,5313,24546,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,29,1,0,"[-1.1996508836746216, -0.4536895453929901]","[-1.1996508836746216, -0.4536895453929901]",-7.5542134046554565,6.808252334594727,[0.0],True,83,24546,279,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,30,1,0,"[-1.529854416847229, -0.3346762955188751]","[-1.529854416847229, -0.3346762955188751]",-7.5542134046554565,6.359035491943359,[0.0],True,84,279,7384,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,31,1,0,"[-1.4383890628814697, -0.4131297767162323]","[-1.4383890628814697, -0.4131297767162323]",-7.5542134046554565,6.52895450592041,[0.0],True,85,7384,3240,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,32,1,0,"[-1.440434217453003, -0.23246876895427704]","[-1.440434217453003, -0.23246876895427704]",-7.5542134046554565,6.346248149871826,[0.0],True,86,3240,23014,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,33,1,0,"[-1.4680744409561157, -0.12424856424331665]","[-1.4680744409561157, -0.12424856424331665]",-7.5542134046554565,6.210387706756592,[0.0],True,87,23014,321,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,34,1,0,"[-1.6942145824432373, -0.4956342875957489]","[-1.6942145824432373, -0.4956342875957489]",-7.5542134046554565,6.35563325881958,[0.0],True,88,321,3707,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,35,1,0,"[-1.610109806060791, -0.43277406692504883]","[-1.610109806060791, -0.43277406692504883]",-7.5542134046554565,6.376877784729004,[0.0],True,89,3707,633,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,36,1,0,"[-1.5739957094192505, -0.13063448667526245]","[-1.5739957094192505, -0.13063448667526245]",-7.5542134046554565,6.110852241516113,[0.0],True,90,633,3222,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,37,1,0,"[-1.2235723733901978, -0.3058358430862427]","[-1.2235723733901978, -0.3058358430862427]",-7.5542134046554565,6.636476993560791,[0.0],True,91,3222,23358,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,38,1,0,"[-0.9566804766654968, -0.18534354865550995]","[-0.9566804766654968, -0.18534354865550995]",-7.5542134046554565,6.782876491546631,[0.0],True,92,23358,513,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,39,1,0,"[-1.2739362716674805, -0.5259966850280762]","[-1.2739362716674805, -0.5259966850280762]",-7.5542134046554565,6.806273937225342,[0.0],True,93,513,82054,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,40,1,0,"[-1.4721988439559937, -0.39577555656433105]","[-1.4721988439559937, -0.39577555656433105]",-7.5542134046554565,6.477790355682373,[0.0],True,94,82054,22898,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,41,1,0,"[-1.552972674369812, -0.3410479724407196]","[-1.552972674369812, -0.3410479724407196]",-7.5542134046554565,6.342288970947266,[0.0],True,95,22898,310,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,42,1,0,"[-1.9674677848815918, -0.3926617205142975]","[-1.9674677848815918, -0.3926617205142975]",-7.5542134046554565,5.97940731048584,[0.0],True,96,310,279,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,43,1,0,"[-1.8573589324951172, -0.24923421442508698]","[-1.8573589324951172, -0.24923421442508698]",-7.5542134046554565,5.946088790893555,[0.0],True,97,279,18356,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,44,1,0,"[-1.3824750185012817, -0.4865565299987793]","[-1.3824750185012817, -0.4865565299987793]",-7.5542134046554565,6.658295154571533,[0.0],True,98,18356,321,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,45,1,0,"[-1.602980613708496, -0.3853268325328827]","[-1.602980613708496, -0.3853268325328827]",-7.5542134046554565,6.336559772491455,[0.0],True,99,321,28943,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,46,1,0,"[-1.4897358417510986, -0.43891337513923645]","[-1.4897358417510986, -0.43891337513923645]",-7.5542134046554565,6.503391265869141,[0.0],True,100,28943,314,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,47,1,0,"[-2.0515005588531494, -0.3647799789905548]","[-2.0515005588531494, -0.3647799789905548]",-7.5542134046554565,5.86749267578125,[0.0],True,101,314,4499,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,48,1,0,"[-1.7908024787902832, -0.4261707663536072]","[-1.7908024787902832, -0.4261707663536072]",-7.5542134046554565,6.189581871032715,[0.0],True,102,4499,6577,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,49,1,0,"[-1.3708715438842773, -0.5688284039497375]","[-1.3708715438842773, -0.5688284039497375]",-7.5542134046554565,6.752170562744141,[0.0],True,103,6577,13505,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,50,1,0,"[-1.83524489402771, -0.5926247835159302]","[-1.83524489402771, -0.5926247835159302]",-7.5542134046554565,6.311593532562256,[0.0],True,104,13505,7929,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,51,1,0,"[-1.8824769258499146, -0.2631719708442688]","[-1.8824769258499146, -0.2631719708442688]",-7.5542134046554565,5.934908866882324,[0.0],True,105,7929,13,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,52,1,0,"[-1.4170068502426147, -0.4627701938152313]","[-1.4170068502426147, -0.4627701938152313]",-7.5542134046554565,6.599977016448975,[0.0],True,106,13,248046,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,53,1,0,"[-0.9316497445106506, -0.27230313420295715]","[-0.9316497445106506, -0.27230313420295715]",-7.5542134046554565,6.894866943359375,[0.0],True,107,248046,198,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,54,1,0,"[-1.677799940109253, -0.5805965662002563]","[-1.677799940109253, -0.5805965662002563]",-7.5542134046554565,6.457010269165039,[0.0],True,108,198,248044,,,,,,
syco_bullshit_v2_leg_pnf_01,random_17_minus,0,55,54,"[-1.0510940551757812, 0.2816615402698517]","[-1.0508428812026978, 0.2822413444519043]",-7.5542134046554565,6.221129417419434,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7885067462921143]",True,54,271,760,3.788508653640747,3.7885067462921143,0.02139849029481411,0.14473530650138855,"[[0.0002511870115995407, 0.0005797222256660461]]",0.9999840259552002
syco_bullshit_v2_leg_pnf_01,random_17_minus,1,1,0,"[-1.351455569267273, -0.4318118095397949]","[-1.3474122285842896, -0.43036481738090515]",-7.5542134046554565,6.6371660232543945,[4.043824672698975],True,55,760,62966,4.043542861938477,4.043824672698975,0.022786511108279228,0.14473506808280945,"[[0.004043342545628548, 0.001446995884180069]]",0.999984085559845
syco_bullshit_v2_leg_pnf_01,random_17_minus,2,1,0,"[-0.6737901568412781, -0.44049352407455444]","[-0.6710910201072693, -0.44069647789001465]",-7.5542134046554565,7.323819160461426,[4.459890842437744],True,56,62966,1220,4.45928955078125,4.459890842437744,0.023861609399318695,0.16883055865764618,"[[0.00269915908575058, -0.00020289048552513123]]",0.9999855756759644
syco_bullshit_v2_leg_pnf_01,random_17_minus,3,1,0,"[-1.0608139038085938, -0.2812788486480713]","[-1.0559126138687134, -0.2795327305793762]",-7.5542134046554565,6.777833461761475,[4.127115249633789],True,57,1220,381,4.127614974975586,4.127115249633789,0.02496841736137867,0.1542910784482956,"[[0.004901275038719177, 0.0017460063099861145]]",0.9999818205833435
syco_bullshit_v2_leg_pnf_01,random_17_minus,4,1,0,"[-1.0558562278747559, -0.6847997903823853]","[-1.0589449405670166, -0.6858735680580139]",-7.5542134046554565,7.181142330169678,[4.3760199546813965],True,58,381,15271,4.376823902130127,4.3760199546813965,0.021983467042446136,0.1551944464445114,"[[-0.003088679164648056, -0.0010738037526607513]]",0.9999873638153076
syco_bullshit_v2_leg_pnf_01,random_17_minus,5,1,0,"[-0.6463797688484192, 0.04862295091152191]","[-0.6465519666671753, 0.048446908593177795]",-7.5542134046554565,6.859214782714844,[4.177855491638184],True,59,15271,1231,4.177412033081055,4.177855491638184,0.024603305384516716,0.16307945549488068,"[[-0.000172298401594162, -0.000176113098859787]]",0.9999825954437256
syco_bullshit_v2_leg_pnf_01,random_17_minus,6,1,0,"[-1.2383700609207153, -0.1900480091571808]","[-1.234793782234192, -0.18815326690673828]",-7.5542134046554565,6.507573127746582,[3.962113857269287],True,60,1231,3213,3.962193012237549,3.962113857269287,0.0250224769115448,0.15818214416503906,"[[0.003576226532459259, 0.0018947981297969818]]",0.999980092048645
syco_bullshit_v2_leg_pnf_01,random_17_minus,7,1,0,"[-0.8462989330291748, -0.33411598205566406]","[-0.8457522392272949, -0.3347425162792206]",-7.5542134046554565,7.043203830718994,[4.291172981262207],True,61,3213,310,4.2908830642700195,4.291172981262207,0.022548392415046692,0.1607387214899063,"[[0.0005466006696224213, -0.000626537948846817]]",0.9999861121177673
syco_bullshit_v2_leg_pnf_01,random_17_minus,8,1,0,"[-1.1813989877700806, -0.6532855033874512]","[-1.185217261314392, -0.654708743095398]",-7.5542134046554565,7.023705005645752,[4.277062892913818],True,62,310,40729,4.276994705200195,4.277062892913818,0.023196343332529068,0.15744677186012268,"[[-0.0038181692361831665, -0.0014232322573661804]]",0.9999852180480957
syco_bullshit_v2_leg_pnf_01,random_17_minus,9,1,0,"[-0.9548619389533997, -0.13730457425117493]","[-0.950546383857727, -0.13668221235275269]",-7.5542134046554565,6.740349292755127,[4.105668544769287],True,63,40729,3050,4.105903148651123,4.105668544769287,0.025079062208533287,0.15695445239543915,"[[0.0043153464794158936, 0.0006222762167453766]]",0.9999813437461853
syco_bullshit_v2_leg_pnf_01,random_17_minus,10,1,0,"[-1.2352408170700073, -0.34023427963256836]","[-1.2309911251068115, -0.3393705487251282]",-7.5542134046554565,6.662592887878418,[4.058144569396973],True,64,3050,6577,4.058492183685303,4.058144569396973,0.02380390465259552,0.15271569788455963,"[[0.004249855875968933, 0.0008637309074401855]]",0.9999827146530151
syco_bullshit_v2_leg_pnf_01,random_17_minus,11,1,0,"[-0.8525497913360596, -0.37169143557548523]","[-0.8567276000976562, -0.37330302596092224]",-7.5542134046554565,7.070788860321045,[4.306818008422852],True,65,6577,11433,4.306996822357178,4.306818008422852,0.02590024098753929,0.16350294649600983,"[[-0.0041777342557907104, -0.0016116052865982056]]",0.9999818801879883
syco_bullshit_v2_leg_pnf_01,random_17_minus,12,1,0,"[-1.4082998037338257, -0.5631999969482422]","[-1.4046953916549683, -0.5630747079849243]",-7.5542134046554565,6.712593078613281,[4.088072776794434],True,66,11433,321,4.088745594024658,4.088072776794434,0.026994826272130013,0.16226544976234436,"[[0.0036041419953107834, 0.00012534111738204956]]",0.9999781847000122
syco_bullshit_v2_leg_pnf_01,random_17_minus,13,1,0,"[-1.5951550006866455, -0.4888102114200592]","[-1.5924662351608276, -0.4877670109272003]",-7.5542134046554565,6.449514389038086,[3.9257853031158447],True,67,321,836,3.927255868911743,3.9257853031158447,0.02147078886628151,0.15019558370113373,"[[0.0026888027787208557, 0.0010433532297611237]]",0.9999850988388062
syco_bullshit_v2_leg_pnf_01,random_17_minus,14,1,0,"[-1.660629391670227, -0.41569799184799194]","[-1.658332109451294, -0.4151613712310791]",-7.5542134046554565,6.311042785644531,[3.8450021743774414],True,68,836,5634,3.8445236682891846,3.8450021743774414,0.02153725177049637,0.1568167805671692,"[[0.002296900376677513, 0.000536598265171051]]",0.9999843835830688
syco_bullshit_v2_leg_pnf_01,random_17_minus,15,1,0,"[-1.8113303184509277, -0.19536319375038147]","[-1.8113102912902832, -0.19629241526126862]",-7.5542134046554565,5.93919563293457,[3.6176469326019287],True,69,5634,12585,3.6169538497924805,3.6176469326019287,0.020819639787077904,0.15011978149414062,"[[2.0040199160575867e-05, -0.0009293146431446075]]",0.9999834299087524
syco_bullshit_v2_leg_pnf_01,random_17_minus,16,1,0,"[-1.5743038654327393, -0.7764747142791748]","[-1.5702650547027588, -0.7753573656082153]",-7.5542134046554565,6.759305953979492,[4.1169610023498535],True,70,12585,22327,4.117120742797852,4.1169610023498535,0.025761598721146584,0.16533203423023224,"[[0.004038810729980469, 0.001117456704378128]]",0.9999803304672241
syco_bullshit_v2_leg_pnf_01,random_17_minus,17,1,0,"[-1.4184106588363647, -0.6892459392547607]","[-1.4229726791381836, -0.691982090473175]",-7.5542134046554565,6.823223114013672,[4.159325122833252],True,71,22327,11,4.158069133758545,4.159325122833252,0.028835730627179146,0.16702856123447418,"[[-0.004561781883239746, -0.0027359910309314728]]",0.9999759197235107
syco_bullshit_v2_leg_pnf_01,random_17_minus,18,1,0,"[-1.4745339155197144, -0.591852068901062]","[-1.4706984758377075, -0.5914884805679321]",-7.5542134046554565,6.675003528594971,[4.0642170906066895],True,72,11,21873,4.064983367919922,4.0642170906066895,0.025664033368229866,0.1589430421590805,"[[0.0038359705358743668, 0.0003637559711933136]]",0.999980092048645
syco_bullshit_v2_leg_pnf_01,random_17_minus,19,1,0,"[-1.3271836042404175, -0.4870724380016327]","[-1.3240382671356201, -0.48615312576293945]",-7.5542134046554565,6.7163286209106445,[4.091069221496582],True,73,21873,1754,4.091794013977051,4.091069221496582,0.024904673919081688,0.1567760854959488,"[[0.003145800903439522, 0.0009192898869514465]]",0.9999815821647644
syco_bullshit_v2_leg_pnf_01,random_17_minus,20,1,0,"[-1.5507692098617554, -0.6239677667617798]","[-1.5471837520599365, -0.6224160194396973]",-7.5542134046554565,6.629446029663086,[4.03585147857666],True,74,1754,3566,4.035572528839111,4.03585147857666,0.022861381992697716,0.15430356562137604,"[[0.003585485741496086, 0.0015516504645347595]]",0.9999840259552002
syco_bullshit_v2_leg_pnf_01,random_17_minus,21,1,0,"[-1.590495228767395, -0.6081221103668213]","[-1.5865894556045532, -0.6081140637397766]",-7.5542134046554565,6.575737953186035,[4.000412940979004],True,75,3566,579,4.001248359680176,4.000412940979004,0.02512708492577076,0.1571253538131714,"[[0.0039057359099388123, 8.05780291557312e-06]]",0.9999803304672241
syco_bullshit_v2_leg_pnf_01,random_17_minus,22,1,0,"[-1.6980119943618774, -0.5078959465026855]","[-1.6962224245071411, -0.5078138709068298]",-7.5542134046554565,6.365804672241211,[3.876297950744629],True,76,579,5048,3.8766915798187256,3.876297950744629,0.02236863039433956,0.15452641248703003,"[[0.0017899908125400543, 8.194521069526672e-05]]",0.9999833106994629
syco_bullshit_v2_leg_pnf_01,random_17_minus,23,1,0,"[-1.6601250171661377, -0.2757105231285095]","[-1.6587315797805786, -0.27532169222831726]",-7.5542134046554565,6.170803546905518,[3.759598731994629],True,77,5048,5353,3.7596850395202637,3.759598731994629,0.021692445501685143,0.15454812347888947,"[[0.0013937726616859436, 0.00038886070251464844]]",0.9999833703041077
syco_bullshit_v2_leg_pnf_01,random_17_minus,24,1,0,"[-1.4559530019760132, -0.39301425218582153]","[-1.453092336654663, -0.392385870218277]",-7.5542134046554565,6.493506908416748,[3.9529387950897217],True,78,5353,369,3.9533398151397705,3.9529387950897217,0.024870583787560463,0.1594468653202057,"[[0.002860661596059799, 0.0006285496056079865]]",0.9999802112579346
syco_bullshit_v2_leg_pnf_01,random_17_minus,25,1,0,"[-1.557396650314331, -0.531808614730835]","[-1.554188847541809, -0.532593309879303]",-7.5542134046554565,6.532618045806885,[3.9763729572296143],True,79,369,9077,3.976674795150757,3.9763729572296143,0.02544409967958927,0.15674401819705963,"[[0.0032077431678771973, -0.000784754753112793]]",0.999979555606842
syco_bullshit_v2_leg_pnf_01,random_17_minus,26,1,0,"[-1.7358386516571045, -0.2915387451648712]","[-1.7345325946807861, -0.2919873595237732]",-7.5542134046554565,6.111668586730957,[3.7215089797973633],True,80,9077,4364,3.7212271690368652,3.7215089797973633,0.020665032789111137,0.1555090695619583,"[[0.0013060029596090317, -0.0004486776888370514]]",0.999984622001648
syco_bullshit_v2_leg_pnf_01,random_17_minus,27,1,0,"[-1.7876286506652832, -0.6221942901611328]","[-1.785121202468872, -0.620865523815155]",-7.5542134046554565,6.389957904815674,[3.891435384750366],True,81,4364,13,3.891444444656372,3.891435384750366,0.024217283353209496,0.15957611799240112,"[[0.0025074034929275513, 0.001328885555267334]]",0.9999805688858032
syco_bullshit_v2_leg_pnf_01,random_17_minus,28,1,0,"[-0.9139077067375183, -0.1751662939786911]","[-0.9131708145141602, -0.17460383474826813]",-7.5542134046554565,6.815646648406982,[4.15196418762207],True,82,13,1061,4.151493072509766,4.15196418762207,0.023947229608893394,0.16247735917568207,"[[0.0007367245852947235, 0.0005624666810035706]]",0.9999834299087524
syco_bullshit_v2_leg_pnf_01,random_17_minus,29,1,0,"[-1.2949587106704712, -0.6886099576950073]","[-1.2988743782043457, -0.6897661089897156]",-7.5542134046554565,6.945105075836182,[4.232791423797607],True,83,1061,2119,4.231865882873535,4.232791423797607,0.02533414587378502,0.1568038910627365,"[[-0.003915656358003616, -0.0011562779545783997]]",0.9999821186065674
syco_bullshit_v2_leg_pnf_01,random_17_minus,30,1,0,"[-1.0490633249282837, -0.4939132630825043]","[-1.0531750917434692, -0.49517592787742615]",-7.5542134046554565,6.996214389801025,[4.262424945831299],True,84,2119,314,4.261871337890625,4.262424945831299,0.02651558816432953,0.1643778681755066,"[[-0.0041120052337646484, -0.0012626461684703827]]",0.999980628490448
syco_bullshit_v2_leg_pnf_01,random_17_minus,31,1,0,"[-1.675324559211731, -0.74455326795578]","[-1.6712380647659302, -0.7429553866386414]",-7.5542134046554565,6.6259307861328125,[4.032928466796875],True,85,314,7472,4.033082485198975,4.032928466796875,0.023483293130993843,0.15660814940929413,"[[0.004086649045348167, 0.0015978291630744934]]",0.9999830722808838
syco_bullshit_v2_leg_pnf_01,random_17_minus,32,1,0,"[-1.0624297857284546, -0.6968396902084351]","[-1.0654629468917847, -0.6970921754837036]",-7.5542134046554565,7.185842514038086,[4.381414890289307],True,86,7472,369,4.3818254470825195,4.381414890289307,0.025644749402999878,0.17191462218761444,"[[-0.0030329078435897827, -0.0002524629235267639]]",0.9999828934669495
syco_bullshit_v2_leg_pnf_01,random_17_minus,33,1,0,"[-0.9602879285812378, -0.5146426558494568]","[-0.9634570479393005, -0.5148311257362366]",-7.5542134046554565,7.105587482452393,[4.332486152648926],True,87,369,8751,4.331637382507324,4.332486152648926,0.02368687465786934,0.1574200987815857,"[[-0.0031691640615463257, -0.00018856674432754517]]",0.9999850988388062
syco_bullshit_v2_leg_pnf_01,random_17_minus,34,1,0,"[-0.8219473958015442, -0.5375664830207825]","[-0.8247672319412231, -0.5375926494598389]",-7.5542134046554565,7.267038822174072,[4.4286980628967285],True,88,8751,364,4.4280548095703125,4.4286980628967285,0.02467872016131878,0.1682855635881424,"[[-0.0028197430074214935, -2.6173889636993408e-05]]",0.9999844431877136
syco_bullshit_v2_leg_pnf_01,random_17_minus,35,1,0,"[-1.3774330615997314, -0.6756496429443359]","[-1.3818351030349731, -0.6768519878387451]",-7.5542134046554565,6.8492302894592285,[4.174594402313232],True,89,364,28299,4.174644470214844,4.174594402313232,0.02581331506371498,0.15705065429210663,"[[-0.00440220907330513, -0.0012022033333778381]]",0.9999809265136719
